row_num,faci_stat_nm,ftype_nm,cpb_nm,addr_emd_nm,cp_nm,faci_nm,faci_road_addr,faci_addr
730,정상운영,체력단련장,화성시,능동,경기도,크로스핏 선셋,경기도 화성시 10용사로 288 (능동),경기도 화성시 능동 1040 송골마을 우남드림밸리 2차(아)
731,정상운영,체력단련장,서구,월평동,대전광역시,투모어휘트니스 월평6호점,"대전광역시 서구 청사로 128, 12층 (월평동)",대전광역시 서구 월평동 282-3 
732,정상운영,체력단련장,대덕구,오정동,대전광역시,빌리지휘트니스,대전광역시 대덕구 한남로67번길 9 (오정동),대전광역시 대덕구 오정동 172-18
733,정상운영,체력단련장,화성시,능동,경기도,바디앤피트휘트니스,"경기도 화성시 남여울3길 3, 401~403호 (능동)",경기도 화성시 능동 1153-1 
734,정상운영,체력단련장,의정부시,신곡동,경기도,유벗베러 라이프센터,경기도 의정부시 새말로 7(신곡동),경기도 의정부시 신곡동 757-5
735,정상운영,체력단련장,의정부시,민락동,경기도,브랜뉴핏 민락점,경기도 의정부시 오목로225번길 95(민락동),경기도 의정부시 민락동 837
736,정상운영,체력단련장,의정부시,민락동,경기도,크로스핏 엑티브,경기도 의정부시 용민로122번길 8 (민락동),경기도 의정부시 민락동 707-2
737,정상운영,체력단련장,의정부시,민락동,경기도,아트라다,경기도 의정부시 천보로 37 (민락동),경기도 의정부시 민락동 801 해동 lll(쓰리) 타워
738,정상운영,체력단련장,의정부시,민락동,경기도,(주)열린 오픈짐,"경기도 의정부시 오목로 207, 2층 (민락동)",경기도 의정부시 민락동 844-2 
739,정상운영,체력단련장,성남시,창곡동,경기도,에이블짐 위례점,경기도 성남시 수정구 위례광장로 320(창곡동),경기도 성남시 수정구 창곡동 509-2 아이에스센트럴타워
740,정상운영,체력단련장,의정부시,가능동,경기도,피트니스신,경기도 의정부시 서부로720번길 16 (가능동),경기도 의정부시 가능동 0
