row_num,faci_stat_nm,ftype_nm,cp_nm,cpb_nm,addr_emd_nm,faci_nm,faci_road_addr,faci_addr,faci_lat,faci_lot
6413,정상운영,축구장,경상남도,창원시,,창원종합운동장내보조경기장,두대동145,경남 창원시 의창구 두대동 145,0,0
6414,정상운영,축구장,강원도,홍천군,도관리,내촌공설운동장,강원도 홍천군 내촌면 도관길 55,,0,0
6415,정상운영,축구장,경상북도,안동시,,생활체육공원축구장(2),,,0,0
6416,정상운영,축구장,경상북도,포항시,득량동,생활체육운동장,경상북도 포항시 북구 양학로 173-1 (득량동),경상북도 포항시 북구 득량동  219-3,0,0
6417,정상운영,축구장,인천광역시,옹진군,대청리,대청종합운동장,인천광역시 옹진군 대청면 대청로 80,,0,0
6418,정상운영,축구장,경상남도,남해군,,바다구장,서면 서상리 1182-1,경남 남해군 서면 서상리 1182-1,0,0
6419,정상운영,축구장,강원도,철원군,청양리,김화생활체육공원풋살장,강원도 철원군 김화읍 청양로 649,강원도 철원군 김화읍 청양리 1,0,0
6420,정상운영,축구장,경기도,파주시,,금촌체육공원축구장,,금촌동 378,0,0
6421,정상운영,축구장,전라북도,순창군,,순창생활체육운동장,순창읍 남계리 134-1,전북 순창군 순창읍 남계리 134-1,0,0
6422,정상운영,축구장,충청북도,제천시,신동,제천시축구센터,충청북도 제천시 북부로 1860 (신동),충청북도 제천시 신동  653,0,0
6423,정상운영,축구장,충청북도,제천시,신동,제천축구센터,충청북도 제천시 북부로 1860 (신동),충청북도 제천시 신동  653,0,0
6424,정상운영,축구장,대전광역시,서구,도안동,옥녀봉체육공원축구장,대전광역시 서구 도안북로 158 (도안동),대전광역시 서구 도안동  971,0,0
6425,정상운영,축구장,경기도,수원시,,수원월드컵경기장보조경기장(천연잔디), 우만동 229,경기 수원시 팔달구 우만동 229,0,0
6426,정상운영,축구장,경기도,고양시,성사동,고양어울림누리내 별무리축구장,경기도 고양시 덕양구 어울림로 33 (성사동),,0,0
6427,정상운영,축구장,대구광역시,,서변동,신천유소년축구장,대구광역시 북구 조야로2길 209 (서변동),,0,0
6428,정상운영,축구장,경기도,파주시,,문산체육공원축구장,문산읍 임진리 51-21,경기 파주시 문산읍 임진리 51-21,0,0
6429,정상운영,축구장,경상남도,남해군,,다초구장,경남 남해군 이동면 초음리 1432,경남 남해군 이동면 초음리 1432,0,0
6430,정상운영,축구장,강원도,인제군,신남리,남면생활체육공원,강원도 인제군 남면 신남로30번길 28,,0,0
6431,정상운영,축구장,대구광역시,달성군,성하리,달성종합스포츠파크보조경기장,대구광역시 달성군 현풍면 현풍동로 170,,0,0
6432,정상운영,축구장,경상남도,남해군,서상리,남해스포츠파크주경기장,경상남도 남해군 서면 스포츠파크길 74,경상남도 남해군 서면 서상리 1182-8 스포츠파크,0,0
6433,정상운영,축구장,경기도,포천시,,관인하수처리시설내축구장,관인면 탄동리 920,경기 포천시 관인면 탄동리 920,0,0
6434,정상운영,축구장,충청북도,단양군,하방리,단성생활체육공원축구장,충청북도 단양군 단성면 충혼로 52-1,,0,0
6435,정상운영,축구장,경상남도,하동군,운암리,양보생활체육공원,경상남도 하동군 양보면 상고개로 23,,0,0
6436,정상운영,축구장,경상남도,의령군,가락리,용덕공설운동장,경상남도 의령군 용덕면 덕암로6길 18,경상남도 의령군 용덕면 가락리 189-5,0,0
6437,정상운영,축구장,대전광역시,,,덕암축구센터,대덕구 대덕대로 1448번길 199 (목상동),,0,0
6438,정상운영,축구장,경상북도,포항시,우복리,연일읍민운동장,경상북도 포항시 남구 연일읍 연일로360번길 55,경상북도 포항시 남구 연일읍 우복리 468 연일실내체육관,0,0
6439,정상운영,축구장,경기도,안성시,양복리,안성맞춤A구장,경기도 안성시 보개면 종합운동장로 203,,0,0
6440,정상운영,축구장,강원도,양양군,,현북인조잔디운동장,,,0,0
6441,정상운영,축구장,강원도,인제군,미산리,상남생활체육공원축구장,강원도 인제군 상남면 구름울길 24,,0,0
6442,정상운영,축구장,강원도,태백시,문곡동,고원1구장(인조잔디),강원도 태백시 태백로 1451 (문곡동),강원도 태백시 문곡동 10-3 고원2체육관,0,0
6443,정상운영,축구장,부산광역시,해운대구,,장산공원운동장,,대저동 2155,0,0
6444,정상운영,축구장,전라남도,광양시,마동,마동축구전용1구장,전라남도 광양시 무등길 90 (마동),,0,0
6445,정상운영,축구장,경상남도,의령군,,지정공설운동장,의령군 지정면봉곡리 515,경남 의령군 지정면 봉곡리 515,0,0
6446,정상운영,축구장,충청남도,아산시,풍기동,(이순신종합운동장)보조경기장,충청남도 아산시 남부로 370-42 (풍기동),충청남도 아산시 풍기동 114-3 이순신빙상장,0,0
6447,정상운영,축구장,경상북도,포항시,하정리,구룡포축구장,,경북 포항시 남구 구룡포읍 하정리 450,0,0
6448,정상운영,축구장,경상남도,의령군,서동리,서동생활공원다목적구장,경상남도 의령군 의령읍 의병로8길 44,경상남도 의령군 의령읍 서동리 543,0,0
6449,정상운영,축구장,경기도,이천시,중리동,공설운동장,경기도 이천시 서희로 7-14 (중리동),,0,0
6450,정상운영,축구장,경상남도,합천군,성산리,군민생활체육공원인조잔디축구장(1),경상남도 합천군 용주면 손목3길 76-82,경상남도 합천군 용주면 성산리 959-2,0,0
6451,정상운영,축구장,경상북도,포항시,문덕리,오천읍민운동장,경상북도 포항시 남구 오천읍 냉천로560번길 5,경상북도 포항시 남구 오천읍 문덕리 산26-1,0,0
6452,정상운영,축구장,제주특별자치도,제주시,,제주시생활체육공원축구장,,,0,0
6453,정상운영,축구장,경기도,여주시,,대신체육공원축구장,대신면 율촌리 산40 (여양로 1500),경기 여주시 대신면 율촌리 산 40,0,0
6454,정상운영,축구장,경상남도,함안군,,칠북면공설운동장,,,0,0
6455,정상운영,축구장,부산광역시,강서구,,부산교통공사대저차량기지축구장,대저1동 1619,부산 강서구 대저1동 1619,0,0
6456,정상운영,축구장,경상남도,창원시,,소계체육공원축구장,,,0,0
6457,정상운영,축구장,경기도,동두천시,상봉암동,소요생활체육공원축구장,경기도 동두천시 봉동로 27 (상봉암동),경기도 동두천시 상봉암동  173,0,0
6458,정상운영,축구장,경기도,포천시,이동교리,소흘읍생활체육공원축구장,경기도 포천시 소흘읍 태봉로63번길 91,경기도 포천시 소흘읍 이동교리 산1 소흘체육공원,0,0
6459,정상운영,축구장,경기도,부천시,중동,부천체육관인조잔디구장,경기도 부천시 석천로 293 (중동),경기도 부천시 중동 1024 부천실내체육관,0,0
