row_num,faci_stat_nm,faci_lat,ftype_nm,cpb_nm,addr_emd_nm,faci_lot,cp_nm,faci_nm,faci_road_addr,faci_addr
159,정상운영,0,태권도,북구,,0,광주광역시,대자태권스쿨,광주광역시 북구 동운로 210(운암동),광주광역시 북구 운암동 781-2
160,정상운영,35.26147349,태권도,창원시,호계리,128.5210438,경상남도,점프윙스,경상남도 창원시 마산회원구 내서읍 호계본동로 17-2,경상남도 창원시 마산회원구 내서읍 호계리 790-124 코오롱그랜드쇼핑
161,정상운영,35.07119726,태권도,영도구,,129.0698251,부산광역시,영웅 효 태권도,부산광역시 영도구 부산광역시 영도구 절영로 490,부산광역시 영도구 부산광역시 영도구 절영로 490
162,정상운영,37.49997334,태권도,서초구,,127.0087079,서울특별시,Korea Taekwon Do(코리아 태권도),"서울특별시 서초구 서초중앙로29길 28 (반포동,반포미도상가 2층 4-2호)",서울 서초구 서초중앙로29길 28
163,정상운영,36.66889748,태권도,청주시,율량동,127.4907309,충청북도,율량태권도,충청북도 청주시 청원구 율봉로 195-1 (율량동),충청북도 청주시 청원구 율량동 875-2
164,정상운영,36.2971595,태권도,옥천군,마암리,127.5700795,충청북도,옥천 태권도장,충청북도 옥천군 옥천읍 성신로 51-1,충청북도 옥천군 옥천읍 마암리 12
165,폐업,35.21414681,태권도,군포시,,128.1468994,경기도,용인대이순신태권도,," 금산로 98, 4층"
166,폐업,37.35307257,태권도,군포시,,126.929773,경기도,산본용인대체육관,"오금로 15-30, 403호 (금정동, 세원교육센터)",경기 군포시 오금로 15-30
167,폐업,37.34909046,태권도,군포시,,126.9246302,경기도,용인대가야태권도장,"군포시 번영로 373 4층 (산본동, 도장교육센터 401,402호)",경기 군포시 번영로 373
168,폐업,37.36074437,태권도,군포시,,126.9218642,경기도,정우제2체육관,"고산로 539번길 7-36 3층(산본동, 럭키교육센터)",경기 군포시 고산로539번길 7-36
169,정상운영,37.36557016,태권도,군포시,,126.9334731,경기도,비호 태권도장,"산본천로 119-13 4층 (산본동, 유지천상가)",경기 군포시 산본천로 119-13
170,,37.34905571,태권도,군포시,산본동,126.9258202,경기도,경희대 인화 태권도장,경기도 군포시 번영로 378(산본동),경기도 군포시 산본동 1156-11 인화교육센타
171,정상운영,,태권도,영도구,,,부산광역시,쌍용태권도,"부산광역시 영도구 중리북로41번길 29, 2층 (동삼동)",부산광역시 영도구 동삼동 506 
