row_num,faci_stat_nm,faci_lat,ftype_nm,cpb_nm,addr_emd_nm,faci_lot,cp_nm,faci_nm,faci_road_addr,faci_addr
762,폐업,37.50441609,유도,부천시,중동,126.7695552,경기도,GP주짓수멀티짐,경기도 부천시 길주로 243 (중동),경기도 부천시 중동 1056 제일프라자
763,정상운영,35.16161343,유도,부산진구,개금동,129.025889,부산광역시,개금유도클럽,부산광역시 부산진구 백양대로208번길 90 (개금동),부산광역시 부산진구 개금동 2-1 한진아파트
764,정상운영,35.17458012,유도,부산진구,양정동,129.0646858,부산광역시,양정 유도관,부산광역시 부산진구 동평로 362 (양정동),부산광역시 부산진구 양정동 507-23
765,정상운영,36.32041932,유도,중구,대흥동,127.4198522,대전광역시,경희퍼펙트 유도관,대전광역시 중구 테미로 21-1 (대흥동),대전광역시 중구 대흥동 300-41
766,정상운영,36.32241194,유도,중구,오류동,127.4080041,대전광역시,JUDO FAMILY,대전광역시 중구 계룡로874번길 59 (오류동),대전광역시 중구 오류동 162-1
767,정상운영,36.32258774,유도,중구,유천동,127.3987435,대전광역시,Dream of Judo 태평유도관,대전광역시 중구 평촌로 108 (유천동),대전광역시 중구 유천동 189-5
768,정상운영,37.53293987,유도,양천구,,126.8330453,서울특별시,신나는 유도장,서울특별시 양천구 곰달래로5길 38 (신월동),서울특별시 양천구 신월동 109-13
769,정상운영,37.5332025,유도,양천구,목동,126.8687171,서울특별시,파이널유도멀티짐,서울특별시 양천구 목동중앙서로 43 (목동),서울특별시 양천구 목동 774-9
770,정상운영,35.19237855,유도,동래구,안락동,129.0994265,부산광역시,유도일번지 우아유도관,부산광역시 동래구 안연로 56 (안락동),부산광역시 동래구 안락동 633-44
771,정상운영,0,유도,유성구,,0,대전광역시,드림바디 유도클럽,대전광역시 유성구 테크노중앙로 32 (관평동),대전광역시 유성구 관평동 806 대덕테크노벨리
772,정상운영,35.22882493,유도,금정구,장전동,129.0845148,부산광역시,장전김사부유도관,부산광역시 금정구 장전로 41 (장전동),부산광역시 금정구 장전동 334-43
773,정상운영,37.49085977,유도,구로구,,126.8557596,서울특별시,MEGA 유도 CLUB,서울특별시 구로구 개봉로 57-1 (개봉동),서울특별시 구로구 개봉동 403-55
774,정상운영,0,유도,영등포구,,0,서울특별시,용인대영등포체육관,서울특별시 영등포구 국회대로44길 9 (영등포동7가),서울특별시 영등포구 영등포동7가 64-44
775,정상운영,36.51196029,유도,세종시,아름동,127.24846,세종특별자치시,Dream of Judo 세종유도관,세종특별자치시 보듬3로 100 (아름동),세종특별자치시 아름동 1296 해피라움1
776,정상운영,37.50443459,유도,부천시,중동,126.7695676,경기도,마스터유도관 중동점,경기도 부천시 길주로 243(중동),경기도 부천시 중동 1056 제일프라자
777,정상운영,35.32073748,유도,기장군,매학리,129.1790787,부산광역시,J.B유도클럽,부산광역시 기장군 정관읍 정관로 595,부산광역시 기장군 정관읍 매학리 748-6
778,정상운영,35.85714808,유도,중구,남산동,128.5877883,대구광역시,파이널 멀티짐 대구 명덕점,대구광역시 중구 남산로2길 90 (남산동),대구광역시 중구 남산동 2117-1
779,정상운영,37.27434449,유도,수원시,매탄동,127.0441631,경기도,유사사유도관,경기도 수원시 영통구 중부대로 260 (매탄동),경기도 수원시 영통구 매탄동 153-15
780,정상운영,35.8916731,유도,북구,침산동,128.5884451,대구광역시,엘리트 유도 멀티짐,대구광역시 북구 성북로 45 (침산동),대구광역시 북구 침산동 521-13
781,정상운영,35.94318372,유도,북구,연경동,128.6163112,대구광역시,청춘유도관 연경지구점,대구광역시 북구 연경중앙로3길 21 (연경동),대구광역시 북구 연경동 952-2
782,정상운영,35.82154676,유도,달서구,상인동,128.5302813,대구광역시,용인대 위너 유도관,"대구광역시 달서구 상원로 142 (상인동, 상인자이)",대구광역시 달서구 상인동 133 상인자이
783,정상운영,37.49343399,유도,중구,운서동,126.4894982,인천광역시,파이널 유도 멀티짐,인천광역시 중구 신도시남로141번길 5-8 (운서동),인천광역시 중구 운서동 2796-5 천지인프라자
784,정상운영,37.65065081,유도,남양주시,창현리,127.3064423,경기도,김성범 유도멀티짐,경기도 남양주시 화도읍 창현로 1,경기도 남양주시 화도읍 창현리 469
785,정상운영,36.48459682,유도,세종시,새롬동,127.2525193,세종특별자치시,히트유도관,세종특별자치시 새롬중앙로 34 (새롬동),세종특별자치시 새롬동 574 크리스마스빌딩
786,정상운영,37.48047288,유도,광명시,철산동,126.8641357,경기도,용인대중앙유도관(철산점),경기도 광명시 시청로 41(철산동),경기도 광명시 철산동 210-1
787,정상운영,36.08592366,유도,포항시,장성동,129.3923112,경상북도,양덕 유도관,경상북도 포항시 북구 장성로 110 (장성동),경상북도 포항시 북구 장성동 1407-2
788,정상운영,36.0549724,유도,포항시,우현동,129.3623811,경상북도,ND유도멀티짐,경상북도 포항시 북구 우창동로 30 (우현동),경상북도 포항시 북구 우현동 산21-2
789,정상운영,0,유도,수원시,,0,경기도,팀크로우 유도멀티짐,경기도 수원시 권선구 곡반정로65번길 15(곡반정동),경기도 수원시 권선구 곡반정동 593-9
790,정상운영,35.267117,유도,금정구,남산동,129.0889357,부산광역시,대한유도회 구서2관,부산광역시 금정구 남산로 30 (남산동),부산광역시 금정구 남산동 335-44
791,정상운영,35.23098143,유도,금정구,장전동,129.086775,부산광역시,부산대 김사부 유도관,부산광역시 금정구 금정로 72 (장전동),부산광역시 금정구 장전동 415-23
792,정상운영,37.4864285,유도,동해시,쇄운동,129.102602,강원도,동해 BK 유도 멀티짐,강원도 동해시 청운로 71(쇄운동),강원도 동해시 쇄운동 82-3
793,정상운영,37.51606095,유도,동해시,,129.1021986,강원도,동해유도회관,강원도 동해시 덕골길 10(천곡동),강원도 동해시 천곡동 363-1 동해웰빙레포츠타운
794,정상운영,35.1542315,유도,부산진구,전포동,129.0642873,부산광역시,청춘유도관(서면점),부산광역시 부산진구 전포대로199번길 15 (전포동),부산광역시 부산진구 전포동 690-4 현대타워
