row_num,faci_stat_nm,faci_lat,ftype_nm,cpb_nm,addr_emd_nm,faci_lot,cp_nm,faci_nm,faci_road_addr,faci_addr
950,정상운영,35.85433226,골프,달서구,이곡동,128.5061024,대구광역시,풀스윙스크린골프,대구광역시 달서구 이곡서로 8 (이곡동),대구광역시 달서구 이곡동  1200-4
951,정상운영,36.52381059,골프연습장,세종시,도담동,127.2594018,세종특별자치시,아름파크골프장,"세종특별자치시  다솜1로 220 (도담동, 도램마을 5단지)",
952,정상운영,37.48655348,골프,구로구,구로동,126.8961616,서울특별시,윈스크린골프,서울특별시 구로구 디지털로33길 12 (구로동),서울특별시 구로구 구로동 184-1 우림이비지센터2차
953,정상운영,37.33828118,골프장,광주시,곤지암리,127.35743,경기도,중부컨트리클럽,경기도 광주시 곤지암읍 경충대로 451,경기도 광주시 곤지암읍 곤지암리 26-1 중부컨트리클럽
954,정상운영,37.33329472,골프장,광주시,도웅리,127.2954489,경기도,곤지암컨트리클럽,경기도 광주시 도척면 도척윗로 280,경기도 광주시 도척면 도웅리 210-2
955,정상운영,37.38006029,골프장,광주시,오향리,127.3724599,경기도,블루버드컨트리클럽,경기도 광주시 곤지암읍 오향길 180,경기도 광주시 곤지암읍 오향리 156-1
956,정상운영,37.38695029,골프장,광주시,목동,127.1823831,경기도,강남300컨트리클럽,경기도 광주시 새말길 353 (목동),경기도 광주시 목동  497-6
957,정상운영,37.35952475,골프장,광주시,이선리,127.4247111,경기도,그린힐컨트리클럽,경기도 광주시 곤지암읍 내선길 176,경기도 광주시 곤지암읍 이선리 5-27
958,정상운영,,골프,고양시,주엽동,,경기도,QED 골프연습장 주엽역점,"경기도 고양시 일산서구 중앙로 1406, 한솔코아(주) 7층 (주엽동)",경기도 고양시 일산서구 주엽동 72-2 한솔코아(주) 
959,정상운영,35.83080749,골프,달서구,월성동,128.5196319,대구광역시,콜 스크린,대구광역시 달서구 월곡로99길 45 (월성동),대구광역시 달서구 월성동  1806-2
960,정상운영,37.69901823,골프,고양시,덕이동,126.7532291,경기도,스카이힐 골프존,경기도 고양시 일산서구 하이파크3로 84 (덕이동),경기도 고양시 일산서구 덕이동 1542
961,정상운영,37.6702722,골프,고양시,대화동,126.7491939,경기도,원스크린골프연습장,경기도 고양시 일산서구 호수로 844 (대화동),
962,정상운영,,골프,고양시,덕이동,,경기도,골프 클럽,"경기도 고양시 일산서구 덕이로 187, 2층 (덕이동)",경기도 고양시 일산서구 덕이동 992-1 2층호
963,정상운영,37.67803166,골프,고양시,풍동,126.7939809,경기도,우정,경기도 고양시 일산동구 고양대로 892 (풍동),
964,정상운영,,골프,성북구,,,서울특별시,로얄스크린골프,"서울특별시 성북구 화랑로11길 26 (하월곡동,월곡갑을명가 (지1층))",서울특별시 성북구 하월곡동 227 월곡갑을명가 (지1층) 
965,정상운영,37.04682419,골프장,,,127.3895849,경기도,골프클럽Q(대중),안성시 죽산면 장계길 20-229,
966,정상운영,37.05995149,골프장,,장능리,127.380536,경기도,에덴블루CC(대중),경기도 안성시 죽산면 녹배길 175,
967,정상운영,,골프장,,,,경기도,에덴블루C.C,,안성시 죽산면 장능리 산160
968,정상운영,37.10474145,골프장,,노곡리,127.2606067,경기도,마에스트로CC(대중),경기도 안성시 양성면 안성맞춤대로 2134-36,
969,정상운영,37.09534267,골프장,,,127.3423871,경기도,골프존카운티안성H(대중),안성시 보개면 보삼로 302,
970,정상운영,37.70760677,골프장,,,126.5339957,경기도,김포씨사이드CC(회원),김포시 월곶면 포내리 220-6,
971,정상운영,37.38889555,골프장,,,128.0131449,강원도,파크밸리 골프클럽,원주시 소초면 바우실길 281,강원 원주시 소초면 바우실길 281
972,정상운영,37.40082759,골프장,,,127.8794895,강원도,동서울 레스피아,원주시 지정면 신평석화로 236,강원 원주시 지정면 신평석화로 236
973,정상운영,37.28145137,골프장,,,127.8424172,강원도,센추리21 퍼블릭,원주시 문막읍 궁말길 193,강원 원주시 문막읍 궁말길 193
974,정상운영,37.28145137,골프장,,,127.8424172,강원도,센추리21 컨트리클럽,원주시 문막읍 궁말길 193,강원 원주시 문막읍 궁말길 193
975,정상운영,37.42522383,골프장,,,127.2095316,경기도,뉴서울CC(회원),광주시 삼지곡길 95,
976,정상운영,37.38695029,골프장,,,127.1823831,경기도,강남300CC(회원),광주시 새말길 353,
977,정상운영,37.19029728,골프장,,,127.1128198,경기도,리베라CC(회원),화성시 동탄면 중리길 183,
978,정상운영,37.11654777,골프장,,,126.8604072,경기도,발리오스CC(회원),화성시 팔탄면 3.1만세로 641-28,
979,정상운영,37.11654777,골프장,,,126.8604072,경기도,발리오스CC(대중),화성시 팔탄면 3.1만세로 641-28,
980,정상운영,37.19678861,골프장,,,127.1334778,경기도,화성상록GC(대중),화성시 동탄면 풀무골로60번길 80,
981,정상운영,37.17177018,골프장,,,126.7532201,경기도,링크나인GC(대중),화성시 마도면 해운로630번길 49,
982,정상운영,37.40580114,골프장,,,127.3846591,경기도,이스트밸리CC(회원),광주시 곤지암읍 건업길 195,
983,정상운영,37.35358734,골프장,,,127.4139461,경기도,남촌CC(회원),광주시 곤지암읍 부항길 135-38,
984,정상운영,37.38006029,골프장,,,127.3724599,경기도,큐로경기CC,광주시 곤지암읍 오향길 180,
985,정상운영,37.78407917,골프장,,,127.0875611,경기도,레이크우드CC(회원),양주시 만송로244(만송동),
986,정상운영,37.79320622,골프장,,,126.9104572,경기도,송추CC(회원),양주시 광적면 쇠장이길435,
987,폐업,37.79991888,골프장,,소학리,127.2451987,경기도,베어스타운CC(대중),경기도 포천시 내촌면 금강로2536번길 27,
988,정상운영,37.94185572,골프장,,,127.3313285,경기도,필로스GC(대중),포천시 일동면 기산리 산 142-1번지 ,
