row_num,faci_stat_nm,ftype_nm,cpb_nm,addr_emd_nm,cp_nm,faci_nm,faci_road_addr,faci_addr
52,정상운영,농구,군포시,산본동,경기도,패스체대입시 산본안양센터,경기도 군포시 광정로 70(산본동),경기도 군포시 산본동 1144-1 유공빌딩
53,정상운영,농구,군포시,,경기도,바스농구클럽,경기도 군포시 고산로126번길 18 (당정동),경기도 군포시 당정동 422-1
54,정상운영,농구,수원시,금곡동,경기도,키플스포츠클럽,경기도 수원시 권선구 금곡로212번길 25 (금곡동),경기도 수원시 권선구 금곡동 1124 광일프라자
55,폐업,농구,성남시,정자동,경기도,DH 스포츠센터,경기도 성남시 분당구 내정로 58(정자동),경기도 성남시 분당구 정자동 117-1 스포라이프 스포츠센타
56,정상운영,농구,의정부시,녹양동,경기도,스카이짐유소년스포츠클럽(녹양점),경기도 의정부시 동일로 860-18(녹양동),경기도 의정부시 녹양동 1-9
57,정상운영,농구,용인시,상하동,경기도,유소년스포츠(SSA),경기도 용인시 기흥구 언동로 178 (상하동),경기도 용인시 기흥구 상하동 504-4
58,정상운영,농구,의정부시,,경기도,고려대스포츠아카데미,경기도 의정부시 송산로971번길 87-5(산곡동),경기도 의정부시 산곡동 626-1
59,정상운영,농구,의정부시,,경기도,박성배 농구아카데미,경기도 의정부시 시민로434번길 9-4(용현동),경기도 의정부시 용현동 458-11
60,정상운영,농구,화성시,,경기도,티오피(TOP)스포츠클럽,경기도 화성시 경기동로 470-28(장지동),경기도 화성시 장지동 838-10
61,정상운영,농구,구리시,,경기도,리얼농구교실,경기도 구리시 동구릉로200번길 25(인창동),경기도 구리시 인창동 31-2
62,정상운영,농구,세종시,봉안리,세종특별자치시,맥스스포츠 아카데미,세종특별자치시 장군면 봉안고개길 27,세종특별자치시 장군면 봉안리 220
63,정상운영,농구,하남시,,경기도,넥스트레벨 바스켓볼 아카데미,경기도 하남시 서하남로43번길 101(감북동),경기도 하남시 감북동 224
64,정상운영,농구,이천시,갈산동,경기도,점퍼(JumPer),경기도 이천시 갈산로27번길 186 (갈산동),경기도 이천시 갈산동 523-2
65,정상운영,농구,서구,풍암동,광주광역시,팀케이 농구교실(서구점),광주광역시 서구 풍암순환로188번길 37-1 (풍암동),광주광역시 서구 풍암동 1148-5
66,정상운영,농구,유성구,,대전광역시,월드짐 농구교실,대전광역시 유성구 은구비남로7번길 50 (지족동),대전광역시 유성구 지족동 897-4
67,정상운영,농구,여수시,둔덕동,전라남도,우리누리 스포츠,전라남도 여수시 용수길 2-41 (둔덕동),전라남도 여수시 둔덕동 244
68,정상운영,농구,하남시,,경기도,우리코치 아카데미,경기도 하남시 서하남로47번길 252-7 (감북동),경기도 하남시 감북동 148-9
69,정상운영,농구,하남시,풍산동,경기도,벌키스포츠,경기도 하남시 하남대로934번길 19 (풍산동),경기도 하남시 풍산동 378-14
70,정상운영,농구,하남시,미사동,경기도,스킬팩토리 주니어,경기도 하남시 미사동로40번길 146 (미사동),경기도 하남시 미사동 201-3
71,정상운영,농구,서구,연희동,인천광역시,M&M 농구교실,인천광역시 서구 국제대로 255(연희동),인천광역시 서구 연희동 산148-11
72,폐업,농구,금정구,구서동,부산광역시,조이플레이,"부산광역시 금정구 금샘로246번길 18(구서동, 구서에스케이뷰1단지)",부산광역시 금정구 구서동 1074 구서에스케이뷰1단지
73,정상운영,농구,세종시,영곡리,세종특별자치시,슬기로운 아카데미,세종특별자치시 금남면 성덕영곡길 146-39,세종특별자치시 금남면 영곡리 371-2
74,정상운영,농구,김포시,석모리,경기도,엘리트 스포츠 클럽,경기도 김포시 양촌읍 해평로 158,경기도 김포시 양촌읍 석모리 282-1
75,정상운영,농구,군포시,당동,경기도,링담농구교실,경기도 군포시 공단로 143 (당동),경기도 군포시 당동 51-4
76,정상운영,농구,김포시,감정동,경기도,예비 사회적기업 이에스스포츠 나눔 사회적 협동조합,경기도 김포시 감정로 86(감정동),경기도 김포시 감정동 626-10
77,정상운영,농구,김포시,장기동,경기도,엔조이 스포츠,경기도 김포시 초당로16번길 86-3(장기동),경기도 김포시 장기동 2043-2
78,정상운영,농구,김포시,신곡리,경기도,이에스 스포츠 나눔 사회적 협동조합,경기도 김포시 고촌읍 은행영사정로 157,경기도 김포시 고촌읍 신곡리 148-3
79,정상운영,농구,김해시,신천리,경상남도,코리아짐,경상남도 김해시 한림면 김해대로1559번길 8,경상남도 김해시 한림면 신천리 285
80,정상운영,농구,서구,백석동,인천광역시,코리아 농구교실,인천광역시 서구 한서로 22(백석동),인천광역시 서구 백석동 212-221
81,정상운영,농구,서구,백석동,인천광역시,코리아 농구교실,인천광역시 서구 한서로 22(백석동),인천광역시 서구 백석동 212-221
82,정상운영,농구,서구,백석동,인천광역시,코리아 농구교실,인천광역시 서구 한서로 22(백석동),인천광역시 서구 백석동 212-221
83,정상운영,농구,고양시,화정동,경기도,피닉스 농구교실,경기도 고양시 덕양구 화신로260번길 41(화정동),경기도 고양시 덕양구 화정동 978-2 동성골드프라자
84,정상운영,농구,세종시,봉안리,세종특별자치시,주식회사 세종스포츠센터,세종특별자치시 장군면 봉안길 72,세종특별자치시 장군면 봉안리 386-1
85,정상운영,농구,김해시,초정리,경상남도,플라이스포츠,경상남도 김해시 대동면 동남로45번길 43,경상남도 김해시 대동면 초정리 1059-9
86,정상운영,농구,강동구,명일동,서울특별시,TEAMK 스포츠아카데미,서울특별시 강동구 동남로75길 27(명일동),서울특별시 강동구 명일동 47-2 고덕역갑을명가시티 오피스텔
87,정상운영,농구,용인시,고림동,경기도,히로스포츠,경기도 용인시 처인구 경안천로258번길 84(고림동),경기도 용인시 처인구 고림동 480-2
88,정상운영,농구,용인시,죽전동,경기도,아이앤제이 스포츠,경기도 용인시 수지구 현암로 165(죽전동),경기도 용인시 수지구 죽전동 1188-5 에이스프라자
89,정상운영,농구,충주시,연수동,충청북도,스카이플러스스포츠,충청북도 충주시 계명대로 265(연수동),충청북도 충주시 연수동 1641
90,정상운영,농구,강동구,길동,서울특별시,스포키즈,서울특별시 강동구 양재대로 1548(길동),서울특별시 강동구 길동 335-2 태영빌딩
91,정상운영,농구,청주시,신평리,충청북도,클린샷 농구교실,충청북도 청주시 청원구 오창읍 신평중신길 14,충청북도 청주시 청원구 오창읍 신평리 654-8
92,정상운영,농구,화성시,가재리,경기도,디센트 농구교실,경기도 화성시 팔탄면 신양3길 34-8,경기도 화성시 팔탄면 가재리 9-12
93,정상운영,농구,청주시,휴암동,충청북도,삼성리틀썬더스,충청북도 청주시 흥덕구 신전로 2(휴암동),충청북도 청주시 흥덕구 휴암동 402-1
94,정상운영,농구,안산시,사동,경기도,TOP농구교실,경기도 안산시 상록구 감골1로 35(사동),경기도 안산시 상록구 사동 1346 상록수타운월드아파트 월드스포션
95,정상운영,농구,노원구,공릉동,서울특별시,짐앤아이유소년스포츠센터,서울특별시 노원구 공릉로 183(공릉동),서울특별시 노원구 공릉동 408-6
96,정상운영,농구,김해시,장유동,경상남도,용인대 S&K 유소년스포츠클럽,경상남도 김해시 율하로 414-34(장유동),경상남도 김해시 장유동 493-1
97,정상운영,농구,서초구,양재동,서울특별시,강남서초주니어농구교실,서울특별시 서초구 바우뫼로27길 7-31(양재동),서울특별시 서초구 양재동 75-1
98,정상운영,농구,광명시,소하동,경기도,팀케이농구교실,경기도 광명시 오리로 500(소하동),경기도 광명시 소하동 1343-1
99,정상운영,농구,연제구,연산동,부산광역시,(주)모션스포츠,부산광역시 연제구 쌍미천로 160(연산동),부산광역시 연제구 연산동 325-1 행복한교회
100,정상운영,농구,제주시,오라일동,제주특별자치도,리스펙,제주특별자치도 제주시 서사로 184(오라일동),제주특별자치도 제주시 오라일동 2451-6
101,정상운영,농구,제주시,오라삼동,제주특별자치도,리스펙 스포츠 아카데미,제주특별자치도 제주시 서광로 46-8(오라삼동),제주특별자치도 제주시 오라삼동 2606
102,정상운영,농구,강동구,명일동,서울특별시,지오어린이스포츠클럽,서울특별시 강동구 상암로 210(명일동),서울특별시 강동구 명일동 347-3 명일현대종합상가
103,정상운영,농구,오산시,세교동,경기도,볼트바스켓,경기도 오산시 독산성로449번길 42(세교동),경기도 오산시 세교동 176
104,정상운영,농구,오산시,갈곶동,경기도,경희 스포츠 아카데미,경기도 오산시 오산로 28(갈곶동),경기도 오산시 갈곶동 207
105,정상운영,농구,파주시,동패동,경기도,월드드림스포츠,경기도 파주시 미래로310번길 90(동패동),경기도 파주시 동패동 39-34
106,정상운영,농구,태안군,,충청남도,엠제이 뉴스포츠 성균관체육교습소,충청남도 태안군 태안읍 동문3길 17,충청남도 태안군 태안읍 동문리 883-4
107,정상운영,농구,광산구,수완동,광주광역시,우지원 농구아카데미,광주광역시 광산구 장신로 120(수완동),광주광역시 광산구 수완동 1412
108,정상운영,농구,광산구,,광주광역시,맨투맨스포츠,광주광역시 광산구 목련로219번길 111-3(운남동),광주광역시 광산구 운남동 345
109,정상운영,농구,김해시,초정리,경상남도,팀점프,경상남도 김해시 대동면 동남로45번길 41,경상남도 김해시 대동면 초정리 1059
110,정상운영,농구,서구,경서동,인천광역시,KBC농구교실 청라가정점,인천광역시 서구 중봉대로771번길 12(경서동),인천광역시 서구 경서동 350-53
111,정상운영,농구,서구,검암동,인천광역시,지엔지 농구교실,인천광역시 서구 승학로483번길 22-3(검암동),인천광역시 서구 검암동 604-2
112,정상운영,농구,서구,당하동,인천광역시,지엔지 농구클럽,인천광역시 서구 고산후로95번길 10(당하동),인천광역시 서구 당하동 1030-7 뉴시티프라자
113,정상운영,농구,서구,경서동,인천광역시,이글스 스포츠클럽,인천광역시 서구 중봉대로 781(경서동),인천광역시 서구 경서동 350-54
114,정상운영,농구,서구,가좌동,인천광역시,팀케이농구교실 부평서구점,인천광역시 서구 가좌로83번길 46(가좌동),인천광역시 서구 가좌동 290-6
115,정상운영,농구,화성시,반정동,경기도,BBC농구교실,경기도 화성시 반정로153번길 3-1(반정동),경기도 화성시 반정동 112-7
116,정상운영,농구,남동구,,인천광역시,탑 농구교실,인천광역시 남동구 경신로 40(수산동),인천광역시 남동구 수산동 28-13
117,정상운영,농구,남동구,,인천광역시,탑 농구교실,인천광역시 남동구 서창남로 81(서창동),인천광역시 남동구 서창동 686-2 투엠프라자
118,정상운영,농구,남동구,,인천광역시,코리아 농구교실,인천광역시 남동구 경신로60번길 7(수산동),인천광역시 남동구 수산동 50-4
119,정상운영,농구,남동구,,인천광역시,팀케이 농구교실,인천광역시 남동구 앵고개로 680 (고잔동),인천광역시 남동구 고잔동 299 
120,정상운영,농구,세종시,한솔동,세종특별자치시,세종 에스엠씨(SMC) 스포츠,세종특별자치시 노을3로 94(한솔동),세종특별자치시 한솔동 929 세종타워
121,정상운영,농구,시흥시,,경기도,부천 어린이 농구교실,경기도 시흥시 범안로266번길 40-10(계수동),경기도 시흥시 계수동 350-1
122,정상운영,농구,완주군,갈산리,전라북도,J&B,전라북도 완주군 이서면 기지로 36,전라북도 완주군 이서면 갈산리 663-1
123,정상운영,농구,기장군,매학리,부산광역시,피이씨(PEC) 바스켓볼,부산광역시 기장군 정관읍 정관중앙로 45,부산광역시 기장군 정관읍 매학리 717-6
124,정상운영,농구,파주시,야당동,경기도,리스펙,경기도 파주시 송학1길 158-17(야당동),경기도 파주시 야당동 226-80
125,정상운영,농구,수원시,입북동,경기도,애플바스켓볼,경기도 수원시 권선구 서수원로594번길 160(입북동),경기도 수원시 권선구 입북동 796-16
126,정상운영,농구,성남시,,경기도,FS 스포츠클럽,경기도 성남시 수정구 수정로 210(신흥동),경기도 성남시 수정구 신흥동 3436-11 제중빌딩
127,정상운영,농구,청주시,,충청북도,씨에이치씨 농구교실,충청북도 청주시 청원구 내수읍 원통숲안1길 34-14,충청북도 청주시 청원구 내수읍 원통리 400-8
128,정상운영,농구,수원시,하동,경기도,B.I.P 1호점,경기도 수원시 영통구 광교중앙로 170(하동),경기도 수원시 영통구 하동 1016 광교 효성해링턴 타워
129,정상운영,농구,수원시,하동,경기도,B.I.P 2호점,경기도 수원시 영통구 광교중앙로248번길 7-2(하동),경기도 수원시 영통구 하동 989 원희캐슬 광교
130,정상운영,농구,수원시,매탄동,경기도,프라임 타임,경기도 수원시 영통구 신원로211번길 36(매탄동),경기도 수원시 영통구 매탄동 489-2
131,정상운영,농구,고양시,,경기도,일산 스포츠,"경기도 고양시 덕양구 지축로 52, 스타스퀘어 빌딩 1004,1005호 (지축동)",경기도 고양시 덕양구 지축동 996-1 스타스퀘어 빌딩 
132,정상운영,농구,세종시,부용리,세종특별자치시,세종 KBA 농구교실,세종특별자치시 금남면 금병로 905,세종특별자치시 금남면 부용리 427-7
133,정상운영,농구,김해시,동상동,경상남도,시스템스포츠아카데미,경상남도 김해시 호계로 516(동상동),경상남도 김해시 동상동 807-10
134,정상운영,농구,김해시,전하동,경상남도,김해짐 키크기 농구교실,경상남도 김해시 전하로176번길 97-16(전하동),경상남도 김해시 전하동 21
135,정상운영,농구,화성시,기안동,경기도,써밋바스켓볼,경기도 화성시 융건로 77-12(기안동),경기도 화성시 기안동 457-198
136,정상운영,농구,용인시,죽전동,경기도,추승균 elit basketball academy,경기도 용인시 수지구 정든로 13(죽전동),경기도 용인시 수지구 죽전동 473-2
137,정상운영,농구,하남시,초이동,경기도,한국체대스포츠 아카데미 상일점,경기도 하남시 감초로 205-21(초이동),경기도 하남시 초이동 399
138,정상운영,농구,아산시,,충청남도,아산농구클럽,충청남도 아산시 온천대로 1386-2(방축동),충청남도 아산시 방축동 131-100
139,정상운영,농구,수성구,,대구광역시,KBC 스포츠,대구광역시 수성구 신천동로 100(상동),대구광역시 수성구 상동 205-1
140,정상운영,농구,부천시,,경기도,제이와이운동발달센터,경기도 부천시 신흥로 262(중동),경기도 부천시 중동 1060-4
141,정상운영,농구,의왕시,월암동,경기도,링담농구교실,경기도 의왕시 월암길 44(월암동),경기도 의왕시 월암동 323-8
142,정상운영,농구,해운대구,중동,부산광역시,주니어 KT 소닉붐 해운대,부산광역시 해운대구 좌동순환로433번길 38-22(중동),부산광역시 해운대구 중동 1522-3
143,폐업,농구,북구,연경동,대구광역시,더퍼스트스포츠에듀케이션,대구광역시 북구 연경중앙로3길 21(연경동),대구광역시 북구 연경동 952-2
144,정상운영,농구,고양시,,경기도,아임스포츠킹,경기도 고양시 덕양구 덕은1로 23(덕은동),경기도 고양시 덕양구 덕은동 153-1
145,정상운영,농구,고양시,,경기도,아테네 스포츠,경기도 고양시 덕양구 덕은2로 15(덕은동),경기도 고양시 덕양구 덕은동 161-1
146,정상운영,농구,광산구,산정동,광주광역시,CJCK(씨제이씨케이),광주광역시 광산구 광주여대길 6(산정동),광주광역시 광산구 산정동 산105-1 광주여대시립유니버시아드체육관
147,정상운영,농구,성남시,수내동,경기도,베스트원 스포츠클럽,경기도 성남시 분당구 불정로 260(수내동),경기도 성남시 분당구 수내동 88-5 장터조합상가
148,정상운영,농구,성남시,수내동,경기도,레이스 스포츠,경기도 성남시 분당구 돌마로356번길 3(수내동),경기도 성남시 분당구 수내동 79-1 그랜드빌딩
149,정상운영,농구,성남시,서현동,경기도,점핑아이 스포츠,경기도 성남시 분당구 중앙공원로40번길 4(서현동),경기도 성남시 분당구 서현동 93 현대카스빌딩
150,정상운영,농구,해운대구,,부산광역시,히어로 아카데미,부산광역시 해운대구 양운로42번길 6(좌동),부산광역시 해운대구 좌동 1486-3 새삶교회
151,정상운영,농구,수영구,남천동,부산광역시,밸런스스포츠아카데미,부산광역시 수영구 황령대로 497(남천동),부산광역시 수영구 남천동 556-15
152,정상운영,농구,성남시,,경기도,얼라이브 유소년 스포츠클럽,경기도 성남시 수정구 신촌로20번길 13(신촌동),경기도 성남시 수정구 신촌동 192-3
153,정상운영,농구,고양시,,경기도,스윙스,경기도 고양시 덕양구 충장로 118-54(행신동),경기도 고양시 덕양구 행신동 987 부활교육센타
154,정상운영,농구,의왕시,,경기도,라온농구교실,경기도 의왕시 오전공업길 36(고천동),경기도 의왕시 고천동 474
155,정상운영,농구,서초구,양재동,서울특별시,KK주니어,서울특별시 서초구 양재천로21길 18(양재동),서울특별시 서초구 양재동 98 블루스카이
156,정상운영,농구,용인시,보정동,경기도,에이블 농구교실,경기도 용인시 기흥구 이현로 93(보정동),경기도 용인시 기흥구 보정동 429
157,정상운영,농구,용인시,보정동,경기도,에이블 스포츠,경기도 용인시 기흥구 신수로 294(보정동),경기도 용인시 기흥구 보정동 988-1
158,정상운영,농구,중구,,인천광역시,국제농구교실,인천광역시 중구 젓개로46번길 80(운북동),인천광역시 중구 운북동 572-32
159,정상운영,농구,중구,신흥동3가,인천광역시,팀케이농구교실,인천광역시 중구 축항대로291번길 34-3(신흥동3가),인천광역시 중구 신흥동3가 33-43
160,정상운영,농구,중구,운남동,인천광역시,하늘농구교실,인천광역시 중구 운남로 248(운남동),인천광역시 중구 운남동 559-8 덕수정미소
161,정상운영,농구,북구,진장동,울산광역시,LHW 키크는 농구교실,울산광역시 북구 고헌로 198(진장동),울산광역시 북구 진장동 716-6
162,정상운영,농구,송파구,,서울특별시,올댓바스켓 위례센터,서울특별시 송파구 위례순환로 486(장지동),서울특별시 송파구 장지동 904-5
163,정상운영,농구,성북구,정릉동,서울특별시,케이앤제이 비비씨,서울특별시 성북구 서경로 118(정릉동),서울특별시 성북구 정릉동 산16-46 대일관광디자인고등학교
164,정상운영,농구,시흥시,,경기도,한국 스포츠 아카데미,경기도 시흥시 대은로 80(은행동),경기도 시흥시 은행동 536-3 하이런빌딩
165,정상운영,농구,제주시,광령리,제주특별자치도,JBLC 유소년 농구클럽,"제주특별자치도 제주시 애월읍 하광로 284, 나동",제주특별자치도 제주시 애월읍 광령리 3860-1 나동 
166,정상운영,농구,동작구,사당동,서울특별시,리더짐,"서울특별시 동작구 동작대로29길 115(사당동, 사당우성아파트)",서울특별시 동작구 사당동 105 사당우성아파트
167,정상운영,농구,양주시,율정동,경기도,키움스포츠,"경기도 양주시 율정로199번길 136-14, 가동 (율정동)",경기도 양주시 율정동 201-1 
168,정상운영,농구,양주시,만송동,경기도,클로버 스포츠 클럽,경기도 양주시 부흥로 2038-47(만송동),경기도 양주시 만송동 246-4
169,정상운영,농구,구미시,,경상북도,피닉스 키즈 스포츠,경상북도 구미시 봉곡북로13길 24(봉곡동),경상북도 구미시 봉곡동 106-3
170,정상운영,농구,기장군,매학리,부산광역시,아이비스포츠(정관점),부산광역시 기장군 정관읍 정관중앙로 45,부산광역시 기장군 정관읍 매학리 717-6
171,정상운영,농구,중구,,대전광역시,MVP농구교실,대전광역시 중구 계백로 1715(오류동),대전광역시 중구 오류동 154-6
172,정상운영,농구,평택시,비전동,경기도,농구교실 JYB스포츠,경기도 평택시 평택4로 52(비전동),경기도 평택시 비전동 761
173,폐업,농구,고양시,덕이동,경기도,AND ONE SPORTS CLUB,경기도 고양시 일산서구 덕이로 20(덕이동),경기도 고양시 일산서구 덕이동 219-8 양우씨네플렉스
174,정상운영,농구,성남시,정자동,경기도,에이치 농구교실,경기도 성남시 분당구 내정로 58(정자동),경기도 성남시 분당구 정자동 117-1 스포라이프 스포츠센타
