row_num,faci_stat_nm,ftype_nm,cpb_nm,addr_emd_nm,cp_nm,faci_nm,faci_road_addr,faci_addr
113,폐업,수영장,수원시,,경기도,영통종합사회복지관,수원시 영통구 반달로 45 (영통동),경기 수원시 영통구 반달로 45
114,정상운영,수영장,고양시,원흥동,경기도,대한키즈 스윔스쿨 삼송캠퍼스,"경기도 고양시 덕양구 원흥1로 46-12 (원흥동, 삼송3차 아이파크)",경기도 고양시 덕양구 원흥동 619 삼송3차 아이파크
115,정상운영,수영장,경주시,용강동,경상북도,조이스포츠클럽,경상북도 경주시 다불로 141(용강동),경상북도 경주시 용강동 94-1
116,정상운영,수영장,안양시,,경기도,오렌지스포츠센터,"안양시 동안구 학의로 126, 지하8호 (관양동, 한양상가)",경기 안양시 동안구 학의로 126
117,정상운영,수영장,연수구,,인천광역시,블루라군,"인천광역시 연수구 새말로 111, 지1층 (연수동, 영남아파트)",인천광역시 연수구 연수동 577 영남아파트 
118,정상운영,수영장,영암군,,전라남도,라한호텔 목포 실내수영장, 영암군 삼호읍 대불로 91,
119,정상운영,수영장,문경시,모전동,경상북도,문경시국민체육센터,경상북도 문경시 점고길 30 (모전동),경상북도 문경시 모전동  498
120,정상운영,수영장,의성군,노연리,경상북도,의성국민체육센터,경상북도 의성군 단북면 안계길 251,경상북도 의성군 단북면 노연리 1114 의성국민체육센터
121,정상운영,수영장,창원시,,경상남도,곰두리국민체육센터수영장,경상남도 창원시 의창구 원이대로114번길 6 (도계동),경상남도 창원시 의창구 도계동 470
122,정상운영,수영장,창원시,청안동,경상남도,용원국민체육센터,경상남도 창원시 진해구 안청로 95 (청안동),경상남도 창원시 진해구 청안동 319-5
123,정상운영,수영장,남해군,북변리,경상남도,남해국민체육센터실내수영장,경상남도 남해군 남해읍 화전로78번길 26,경상남도 남해군 남해읍 북변리 79-1 남해국민체육센터
124,정상운영,수영장,함양군,백연리,경상남도,함양국민체육센터,경상남도 함양군 함양읍 삼휴길 60-40,경상남도 함양군 함양읍 백연리 636
125,정상운영,수영장,서구,원당동,인천광역시,발리마린 어린이 수영장,인천광역시 서구 이음5로 34(원당동),인천광역시 서구 원당동 1040-4 제일프라자
126,정상운영,수영장,진천군,사곡리,충청북도,진천실내수영장,충청북도 진천군 이월면 부영길 22,충청북도 진천군 이월면 사곡리 604
127,정상운영,수영장,동구,송림동,인천광역시,동구문화체육센터 수영장,인천광역시 동구 송림로110번길 5-8(송림동),인천광역시 동구 송림동 125-24 동구 문화체육센터
128,정상운영,수영장,강화군,국화리,인천광역시,강화국민체육센터,인천광역시 강화군 강화읍 강화대로 591,인천광역시 강화군 강화읍 국화리 46-6 강화국민체육센터
129,정상운영,수영장,대덕구,목상동,대전광역시,대덕국민체육센터수영장,대전광역시 대덕구 대덕대로1486번길 101 (목상동),대전광역시 대덕구 목상동 871
130,정상운영,수영장,진안군,군상리,전라북도,국민체육센터수영장,전라북도 진안군 진안읍 우화2길 47-9,전라북도 진안군 진안읍 군상리 339-16 군민체육센터
131,정상운영,수영장,임실군,이도리,전라북도,임실국민체육센터,전라북도 임실군 임실읍 호국로 1628,전라북도 임실군 임실읍 이도리 504 임실국민체육센터
132,정상운영,수영장,여수시,시전동,전라남도,망마국민체육센터,전라남도 여수시 여천체육공원길 49 (시전동),전라남도 여수시 시전동  109 망마경기장
133,정상운영,수영장,구례군,봉북리,전라남도,구례군민체육센터수영장,전라남도 구례군 구례읍 서시천로 106,전라남도 구례군 구례읍 봉북리 1423-1 구례군민 체육센터
