row_num,faci_stat_nm,ftype_nm,cpb_nm,addr_emd_nm,cp_nm,faci_nm,faci_road_addr,faci_addr
223,폐업,권투,남구,봉선동,광주광역시,팀맥짐 남구점,광주광역시 남구 용대로 117 (봉선동),광주광역시 남구 봉선동  174-16
224,정상운영,권투,전주시,인후동1가,전라북도,아중파워복싱,전라북도 전주시 덕진구 안덕원로 208 (인후동1가),전라북도 전주시 덕진구 인후동1가 594-7 태성빌딩
225,정상운영,권투,전주시,,전라북도,아중파워복싱,전라북도 전주시 전라북도 전주시 덕진구 석소로 62 (우아동2가),전라북도 전주시 전라북도 전주시 덕진구 석소로 62 (우아동2가)
226,정상운영,권투,전주시,우아동3가,전라북도,더 리얼 짐,전라북도 전주시 덕진구 견훤로 491 (우아동3가),전라북도 전주시 덕진구 우아동3가 602-1 반석교회
227,정상운영,권투,전주시,,전라북도,아중안골파워복싱,전라북도 전주시 전라북도 전주시 덕진구 견훤로 489 (우아동3가),전라북도 전주시 전라북도 전주시 덕진구 견훤로 489 (우아동3가)
228,정상운영,권투,당진시,채운동,충청남도,당진Y복싱클럽,충청남도 당진시 대호만로 30-42 (채운동),충청남도 당진시 채운동  518-1
229,정상운영,권투,청주시,양청리,충청북도,H.복싱,충청북도 청주시 청원구 오창읍 중심상업로 27,충청북도 청주시 청원구 오창읍 양청리 819-1 엔젤알파
230,정상운영,권투,동두천시,지행동,경기도,스타복싱클럽,경기도 동두천시 평화로 2248 (지행동),
231,폐업,권투,강동구,길동,서울특별시,팀백호,서울특별시 강동구 천중로40길 50 (길동),
232,정상운영,권투,안양시,비산동,경기도,안양복싱체육관,경기도 안양시 동안구 평촌대로 389 (비산동),
233,폐업,권투,안양시,관양동,경기도,선인권투체육관,경기도 안양시 동안구 관악대로 472 (관양동),
234,정상운영,권투,서구,괴정동,대전광역시,용인대엘리트복싱체육관,대전광역시 서구 가장로 73 (괴정동),
235,정상운영,권투,마포구,대흥동,서울특별시,Boxing GYM EVEREST(에버레스트 복싱짐),서울특별시 마포구 백범로 106 (대흥동),
236,정상운영,권투,여주시,오학동,경기도,용인대 오학 복싱 다이어트 스쿨,"경기도 여주시 도예로 39-16, 2층 (현암동)",경기도 여주시 현암동 179-33 
237,정상운영,권투,계룡시,금암동,충청남도,계룡 다이어트 복싱Gym,충청남도 계룡시 장안로 43 (금암동),
238,정상운영,권투,용인시,,경기도,존슨 휘트니스 복싱클럽,경기도 용인시 기흥구 동백중앙로 265 (중동),
