row_num,faci_stat_nm,ftype_nm,cpb_nm,addr_emd_nm,cp_nm,faci_nm,faci_road_addr,faci_addr
102,정상운영,축구,성남시,구미동,경기도,SFA 스포츠(구미점),"경기도 성남시 분당구 무지개로 144 (구미동, 무지개마을)",경기도 성남시 분당구 구미동 221 무지개마을
103,정상운영,축구,강서구,명지동,부산광역시,아이파크 풋볼 아카데미 명지,부산광역시 강서구 명지국제8로 265(명지동),부산광역시 강서구 명지동 3358-5 SM빌딩
104,정상운영,축구,군포시,당정동,경기도,UYS유소년스포츠클럽,경기도 군포시 당정로28번길 24(당정동),경기도 군포시 당정동 358-3
105,정상운영,축구,군포시,금정동,경기도,사카스포츠,경기도 군포시 오금로 71 (금정동),경기도 군포시 금정동 872-6
106,정상운영,축구,용인시,죽전동,경기도,메이저풋볼스킬 죽전점,경기도 용인시 수지구 죽전로 232(죽전동),경기도 용인시 수지구 죽전동 1350
107,정상운영,축구,용인시,상현동,경기도,위너스 스포츠 아카데미,경기도 용인시 수지구 심곡로 12-8(상현동),경기도 용인시 수지구 상현동 345-5
108,정상운영,축구,청주시,비하동,충청북도,청주FC u12,충청북도 청주시 서원구 남이면 가좌신송로 40-20,충청북도 청주시 서원구 남이면 가좌리 106-5 
109,정상운영,축구,오산시,내삼미동,경기도,TNP 스포츠클럽,경기도 오산시 경기대로658번길 45(내삼미동),경기도 오산시 내삼미동 509
110,정상운영,축구,오산시,원동,경기도,플라이키즈&피닉스,경기도 오산시 경기대로 108(원동),경기도 오산시 원동 495 한빛프라자
111,정상운영,축구,세종시,용포리,세종특별자치시,세종YNA축구클럽,세종특별자치시 금남면 용포로 115,세종특별자치시 금남면 용포리 213-8
112,정상운영,축구,영등포구,양평동2가,서울특별시,이엔제이 스포츠,"서울특별시 영등포구 영등포로 21, 2층 206호 (양평동2가)",서울특별시 영등포구 양평동2가 37-2 206호
113,정상운영,축구,연수구,송도동,인천광역시,페어플레이,인천광역시 연수구 신송로 170 (송도동),인천광역시 연수구 송도동 20-12 에이스프라자3차
114,정상운영,축구,파주시,야당동,경기도,티라노 스포츠 클럽,경기도 파주시 운정1길 101(야당동),경기도 파주시 야당동 45-30
115,정상운영,축구,평택시,죽백동,경기도,제이에이 축구클럽,경기도 평택시 죽백2길 19(죽백동),경기도 평택시 죽백동 408-43
116,정상운영,축구,강서구,명지동,부산광역시,FCMJ 축구클럽,부산광역시 강서구 영강길 140(명지동),부산광역시 강서구 명지동 223-1
117,정상운영,축구,용인시,상현동,경기도,수지위너스스포츠아카데미 주식회사,경기도 용인시 수지구 심곡로 12-8(상현동),경기도 용인시 수지구 상현동 345-5
118,폐업,축구,용산구,한강로3가,서울특별시,(사) 차범근 축구교실,서울특별시 용산구 한강대로23길 55(한강로3가),서울특별시 용산구 한강로3가 40-999 용산역
119,정상운영,축구,수원시,평동,경기도,에이치케이 풋살파크,경기도 수원시 권선구 매송고색로 903(평동),경기도 수원시 권선구 평동 130-1
120,정상운영,축구,연수구,송도동,인천광역시,예스유소년풋볼아카데미,인천광역시 연수구 테크노파크로111번길 5(송도동),인천광역시 연수구 송도동 8-12 스타
121,정상운영,축구,연수구,송도동,인천광역시,이동국FC,인천광역시 연수구 송도과학로16번길 33-4(송도동),인천광역시 연수구 송도동 176-5 송도 트리플스트리트
122,정상운영,축구,성남시,,경기도,솔레아스풋볼 분당오리점,"경기도 성남시 분당구 무지개로 144 (구미동, 무지개마을)",경기도 성남시 분당구 구미동 221 무지개마을
123,정상운영,축구,화성시,남양리,경기도,플레잉풋볼아카데미,경기도 화성시 남양읍 남양로 829,경기도 화성시 남양읍 남양리 2232-5
124,정상운영,축구,성남시,,경기도,AWESOME스포츠아카데미 2호점,경기도 성남시 분당구 황새울로258번길 28 (수내동),경기도 성남시 분당구 수내동 7-4 한도회관빌딩
125,정상운영,축구,성남시,,경기도,풋볼메카 주식회사,경기도 성남시 분당구 매화로 43 (야탑동),경기도 성남시 분당구 야탑동 382-6 동영빌딩
126,폐업,축구,유성구,지족동,대전광역시,로시에나축구클럽,대전광역시 유성구 은구비서로 38(지족동),대전광역시 유성구 지족동 914
127,정상운영,축구장,양산시,평산동,경상남도,(축구장-04) 웅상체육공원,경상남도 양산시 배움터길 60-19(평산동),경상남도 양산시 평산동 283 웅상체육공원
128,폐업,축구,평택시,,경기도,평택서부블루윙즈,경기도 평택시 안중읍 안중북로 204,경기도 평택시 안중읍 덕우리 160-15
129,정상운영,축구,고양시,중산동,경기도,이야짐,"경기도 고양시 일산동구 중산로 60(중산동, 일산2차아이파크)",경기도 고양시 일산동구 중산동 1842 일산2차아이파크
130,정상운영,축구,고양시,대화동,경기도,Gemstone,경기도 고양시 일산서구 한류월드로 300(대화동),경기도 고양시 일산서구 대화동 2606 고양 원마운트
131,정상운영,축구장,양산시,초산리,경상남도,(축구장-16) 하북체육공원,경상남도 양산시 하북면 예인길 26,경상남도 양산시 하북면 초산리 456
132,정상운영,축구,구미시,지산동,경상북도,알파주니어FC,경상북도 구미시 선산대로 19-11(지산동),경상북도 구미시 지산동 629
133,정상운영,축구,동대문구,장안동,서울특별시,UK 주니어 축구클럽,"서울특별시 동대문구 답십리로72길 18, 리더스빌딩 2층 (장안동)",서울특별시 동대문구 장안동 337-11 리더스빌딩 
134,정상운영,축구,서귀포시,,제주특별자치도,쏘니FC,제주특별자치도 서귀포시 중산간동로7951번길 10(동홍동),제주특별자치도 서귀포시 동홍동 1148
135,정상운영,축구,밀양시,,경상남도,아리랑축구클럽,경상남도 밀양시 북성로7길 29(교동),경상남도 밀양시 교동 920
136,정상운영,축구장,,송도동,인천광역시,송도LNG종합스포츠타운축구장,인천광역시 연수구 인천신항대로 916 (송도동),인천광역시 연수구 송도동  379 송도LNG종합스포츠타운
137,정상운영,축구,수원시,,경기도,MOM  축구클럽,경기도 수원시 영통구 태장로54번길 56(망포동),경기도 수원시 영통구 망포동 234-49
138,정상운영,축구,연수구,송도동,인천광역시,어루만짐 인천송도센터,인천광역시 연수구 하모니로 158 (송도동),인천광역시 연수구 송도동 8-21 송도타임스페이스
139,정상운영,축구,의정부시,민락동,경기도,어썸 풋볼 아카데미,경기도 의정부시 용민로 483(민락동),경기도 의정부시 민락동 902-4
140,정상운영,축구,연수구,송도동,인천광역시,연수 풋볼 아카데미,"인천광역시 연수구 하모니로138번길 11, 송도캐슬센트럴파크 102동 3층 317~318, 320~321호 (송도동)",인천광역시 연수구 송도동 8-20 송도캐슬센트럴파크 
141,정상운영,축구,연수구,송도동,인천광역시,경희대 라이언 스포츠클럽,인천광역시 연수구 아트센터대로168번길 100(송도동),인천광역시 연수구 송도동 29-1 한라 웨스턴파크 송도
142,정상운영,축구,연수구,송도동,인천광역시,이동국FC,인천광역시 연수구 송도과학로16번길 33-3(송도동),인천광역시 연수구 송도동 176-1 송도 트리플스트리트
143,정상운영,축구,성남시,복정동,경기도,블루스타즈 아카데미,경기도 성남시 수정구 성남대로1480번길 34(복정동),경기도 성남시 수정구 복정동 668-7
144,정상운영,축구장,임실군,관촌리,전라북도,북부권 생활체육공원,전라북도 임실군 관촌면 사선2길 68-7,전라북도 임실군 관촌면 관촌리 222 사선대 관리 사무소
145,정상운영,축구,시흥시,,경기도,어린이리더십센터,경기도 시흥시 은계남길 49 (은행동),경기도 시흥시 은행동 657-1
146,정상운영,축구,천안시,성성동,충청남도,훈축구교실,충청남도 천안시 서북구 성성8로 2-44(성성동),충청남도 천안시 서북구 성성동 673
147,정상운영,축구,의정부시,용현동,경기도,김병지축구클럽 의정부점,경기도 의정부시 산단로76번길 116(용현동),경기도 의정부시 용현동 527-1 롯데마트 의정부점
148,정상운영,축구,천안시,두정동,충청남도,트리즈 FC 축구교실,충청남도 천안시 서북구 오성로 23 (두정동),충청남도 천안시 서북구 두정동 667 은동빌딩
