addr_ctpv_nm,nation_yn,faci_daddr,row_num,base_ymd,faci_stat_nm,faci_mng_type_cd,reg_dt,inout_gbn_nm,faci_zip,faci_gfa,faci_road_daddr,faci_cd_hash,ftype_nm,cpb_nm,addr_emd_nm,addr_cpb_nm,faci_road_zip,faci_reg_ymd,updt_dt,faci_gb_nm,cp_nm,faci_nm,faci_road_addr,atnm_chk_yn,fcob_nm,faci_addr
"대구광역시","N","3층",241,"20230327","정상운영","","2023-04-03","실내","41526",279,"3층","","체력단련장","북구","복현동","북구","41526","","2023-05-06","신고","대구광역시","패러다임 짐","대구광역시 북구 동북로 223 (복현동)","Y","체력단련장업","대구광역시 북구 복현동 200-11"
"경기도","N","702호",242,"20161231","폐업","자체운영        ","2016-12-31","실내","15865",293,"702호","eZlfjNR9LM6zDKIzP5vFh+Ji9J15rORUyTv+FtzlJXQ=","체력단련장","군포시","산본동","군포시","15865","20110818","2023-03-02","신고","경기도","커브스 산본클럽","경기도 군포시 산본로323번길 16-12 (산본동)","Y","체력단련장업","경기도 군포시 산본동 1134-1 센타빌딩"
"경기도","N","3층 301호",243,"20130520","정상운영","자체운영        ","2020-03-26","없음","15865",419,"3층 301호","+6sILTYAbu+8Htpan2r9XGTlIEmMAS4tkYNSZxQLAfc=","체력단련장","군포시","산본동","군포시","15865","","2023-03-28","신고","경기도","팀윤GYM(산본점)","경기도 군포시 번영로 505 (산본동)","Y","체력단련장업","경기도 군포시 산본동 1142-2 대우디오플러스"
"경기도","N","",244,"20230102","정상운영","","2023-01-30","없음","12821",490,"","a8M8f/6iU29KjBX+NW9Rc8xX819Z6XippR7HMQuo9d0=","체력단련장","광주시","","광주시","12821","","2023-01-30","신고","경기도","하이브","경기도 광주시 문형산길47번길 78-3(신현동)","Y","체력단련장업","경기도 광주시 신현동 398-75 더율 빌딩"
"경기도","N","",245,"20191007","정상운영","","2019-11-12","실내","17056",209,"","gtJZefHHK+2c5CgvEdI/B400SPRNCocJqJ4rHxGSTmI=","체력단련장","용인시","역북동","용인시","17056","","2023-03-08","신고","경기도","청담피트니스","경기도 용인시 처인구 명지로60번길 8-12 (역북동)","Y","체력단련장업","경기도 용인시 처인구 역북동 759"
"인천광역시","N","상가1동 2층 201호 (동춘동, 현대아파트)",246,"20220531","정상운영","","2023-04-05","없음","21976",89,"상가1동 2층 201호 (동춘동, 현대아파트)","","체력단련장","연수구","동춘동","연수구","21976","","2023-04-05","신고","인천광역시","스튜디오 본비","인천광역시 연수구 원인재로 56 (동춘동, 현대아파트)","Y","체력단련장업","인천광역시 연수구 동춘동 928 현대아파트"
"인천광역시","N","엠씨넥스 타워 122, 123호 (송도동)",247,"20220812","정상운영","","2023-04-05","없음","21984",195,"엠씨넥스 타워 122, 123호 (송도동)","","체력단련장","연수구","송도동","","21984","","2023-04-05","신고","인천광역시","환 스튜디오","인천광역시 연수구 송도과학로16번길 13-39 (송도동)","Y","체력단련장업","인천광역시 연수구 송도동 173-3 엠씨넥스 타워"
"인천광역시","N","3층 303호 (송도동)",248,"20220616","정상운영","","2023-04-05","없음","22002",97,"3층 303호 (송도동)","","체력단련장","연수구","송도동","연수구","22002","","2023-04-05","신고","인천광역시","리젠핏 그룹 스튜디오 PT","인천광역시 연수구 해돋이로152번길 35 (송도동)","Y","체력단련장업","인천광역시 연수구 송도동 21-45"
"광주광역시","N","",249,"20201012","정상운영","","2020-11-11","없음","61061",261,"2층 (매곡동)","4UitY+4oxckBRykO+qK+Um0ib+d8GEUXfdjGkbXSyNE=","체력단련장","북구","용봉동","북구","61061","","2023-04-05","신고","광주광역시","HYUN'S GYM","광주광역시 북구 서하로 123, 2층 (매곡동)","Y","체력단련장업","광주광역시 북구 매곡동 39-4 "
"광주광역시","N","1층",250,"20220707","정상운영","","2023-04-12","없음","61698",150,"1층","","체력단련장","남구","주월동","남구","61698","","2023-04-12","신고","광주광역시","프롬짐","광주광역시 남구 봉선로52번라길 8 (주월동)","Y","체력단련장업","광주광역시 남구 주월동 1135-31"
