addr_ctpv_nm,nation_yn,faci_daddr,row_num,base_ymd,faci_stat_nm,reg_dt,inout_gbn_nm,faci_lat,faci_zip,faci_gfa,faci_road_daddr,faci_cd_hash,ftype_nm,cpb_nm,addr_emd_nm,addr_cpb_nm,faci_road_zip,faci_lot,updt_dt,faci_gb_nm,cp_nm,faci_nm,faci_road_addr,atnm_chk_yn,fcob_nm,faci_addr
"경기도","N","",27,"20211116","정상운영","2021-11-22","없음","0","10064",432,"","wdiSplDea5ibfWqerZf9IjcB5BxtIr8Mp8qTxSa5JH4=","배드민턴","김포시","","김포시","10064","0","2021-11-22","신고","경기도","씨앤탑 아카데미","경기도 김포시 양촌읍 해평로 158","Y","체육교습업","경기도 김포시 양촌읍 석모리 282-1"
"경상남도","N","",28,"20211209","정상운영","2021-12-16","실내","35.2226247941672","51025",480,"(풍유동)","y+SXO2qq5ctba3WDZFL2xkRDTfNdXbGd4HUOLFoS2JY=","배드민턴","김해시","","김해시","51025","128.846445828881","2022-11-10","신고","경상남도","스트로커스배드민턴센터","경상남도 김해시 금관대로1041번길 22(풍유동)","Y","체육교습업","경상남도 김해시 풍유동 928"
"경기도","N","",29,"20211231","정상운영","2022-02-17","실내","37.1999143010738","18417",198,"(능동)","40h/b0FGCfwJeI2OETYXvapYJ3ovbWCPkuieMUQT9Fc=","배드민턴","화성시","","화성시","18417","127.044360716631","2022-11-04","신고","경기도","에이스배드민턴","경기도 화성시 병점중앙로 11(능동)","Y","체육교습업","경기도 화성시 능동 692-1"
"경기도","N","(아지트배드민턴 내) (봉양동)",30,"20211124","정상운영","2021-12-19","없음","37.8497140263972","11448",323,"(아지트배드민턴 내) (봉양동)","SOux2jicPK30hFkZyQWT2Iqfp22XkMrcaqdMBeFkzYs=","배드민턴","양주시","봉양동","양주시","11448","127.081495910554","2021-12-19","신고","경기도","하이스포츠","경기도 양주시 칠봉산로168번길 40-17(봉양동)","Y","체육교습업","경기도 양주시 봉양동 297-5"
"경상북도","N","",31,"20211116","정상운영","2021-12-28","없음","0","39172",296,"","wccU3TQAK/a/c54gTCznjB6sy8srXqkuM8uc2k7YMS8=","배드민턴","구미시","","구미시","39172","0","2021-12-28","신고","경상북도","다온 배드민턴 센터","경상북도 구미시 산동읍 산호대로43길 18-22","Y","체육교습업","경상북도 구미시 산동읍 봉산리 387-5"
"경기도","N","",32,"20220128","정상운영","2022-02-04","실내","0","10427",446,"2동 (신평동)","kJvoGjP9xGDbVRMXPvKp8IljpuOS0V+VcxFEWtJj6Nc=","배드민턴","고양시","","고양시","10427","0","2023-05-20","신고","경기도","더쎈 배드민턴 아카데미","경기도 고양시 덕양구 신평길 136-18(신평동)","Y","체육교습업","경기도 고양시 덕양구 신평동 3-127"
"경상남도","N","기산파라다이스 지하B101호(중앙동)",33,"20211230","정상운영","2022-02-23","실내","35.2236256200965","51515",96,"기산파라다이스 지하B101호(중앙동)","L/lxTmjpGnirllkTQdnwbwcymntxUeqAU2O8UwxCE3w=","배드민턴","창원시","중앙동","창원시","51515","128.678930499329","2022-02-23","신고","경상남도","랩타임(LAP TIME)","경상남도 창원시 성산구 중앙대로 95(중앙동)","Y","체육교습업","경상남도 창원시 성산구 중앙동 96-1 기산파라다이스"
"세종특별자치시","N","",34,"20220704","정상운영","2022-07-25","실내","36.5018490214315","30055",1160,"","n+YUraGhqBG1AxKjGKOHmqMiivdV6Kg5+wPd/IFtjYo=","배드민턴","세종시","","세종시","30055","127.225049072674","2022-07-25","신고","세종특별자치시","세종맥스스포츠센터","세종특별자치시 장군면 봉안고개길 27","Y","체육교습업","세종특별자치시 장군면 봉안리 220"
"경기도","N","344,345,346",35,"20220314","정상운영","2022-04-15","없음","37.2517808748298","16705",145,"344,345,346","ujsjzLlJsT0Pmf+t2IAjSWX3sx6QCMOYMr6fREwJ1gY=","배드민턴","수원시","영통동","수원시","16705","127.07746040642","2022-04-15","신고","경기도","꿈자라다운동발달센터","경기도 수원시 영통구 반달로35번길 30(영통동)","Y","체육교습업","경기도 수원시 영통구 영통동 1012-1 영통역 아이파크"
"경상남도","N","",36,"20210712","폐업","2022-05-13","없음","0","50535",420,"(명동)","gGsska4Yd7a74dR57Pw0iIPucY8hKhCMnawFLRZZthc=","배드민턴","양산시","","양산시","50535","0","2022-12-17","신고","경상남도","위너배드민턴센터","경상남도 양산시 솔밭골길 7-20(명동)","Y","체육교습업","경상남도 양산시 명동 174-7"
"경상남도","N","",37,"20220331","폐업","2022-05-13","없음","35.3667884325196","50539",1576,"(덕계동)","7HrIdGC9QCJFptzOoHO0gKG06Dc4iyPGhZpp1wKjH9k=","배드민턴","양산시","","양산시","50539","129.166282931226","2022-12-30","신고","경상남도","이수환배드민턴센터","경상남도 양산시 매곡외산로 156-24(덕계동)","Y","체육교습업","경상남도 양산시 덕계동 62"
"강원도","N","",38,"20211105","정상운영","2022-04-29","실내","0","26402",153,"","Got5b6RnaqU5QMBv/fxl7Ob2rolIaGrdKQls90e5QAM=","배드민턴","원주시","","원주시","26402","0","2022-04-30","신고","강원도","제이제이스포츠","강원도 원주시 판부면 내도매길 102-4","Y","체육교습업","강원도 원주시 판부면 서곡리 925"
