addr_ctpv_nm,nation_yn,faci_daddr,row_num,base_ymd,faci_stat_nm,reg_dt,inout_gbn_nm,faci_lat,faci_zip,faci_gfa,faci_road_daddr,ftype_nm,cpb_nm,addr_emd_nm,faci_road_zip,faci_lot,updt_dt,faci_gb_nm,cp_nm,faci_nm,faci_road_addr,atnm_chk_yn,fcob_nm,faci_addr
"경기도","N","",31,"20161231","정상운영","2016-12-31","없음","37.2523036985971","16704",207,"","권투","수원시","영통동","16704","127.074019989571","2023-04-28","신고","경기도","신은철복싱월드","경기도 수원시 영통구 반달로7번길 6(영통동)","Y","체육도장업","경기도 수원시 영통구 영통동 998-5 센타프라자"
"경기도","N","302호",32,"20230419","정상운영","2023-05-04","없음","37.6766591796006","10323",164,"302호","권투","고양시","식사동","10323","126.814313476577","2023-05-04","신고","경기도","밤짐복싱","경기도 고양시 일산동구 위시티3로 52 (식사동)","Y","체육도장업","경기도 고양시 일산동구 식사동 1541"
"충청북도","N","",33,"20171122","정상운영","2020-11-17","실내","36.9593376530344","27403",304,"","권투","충주시","용산동","27403","127.941448133475","2023-04-28","신고","충청북도","AZIT복싱짐","충청북도 충주시 형설로 62-13 (용산동)","Y","체육도장업","충청북도 충주시 용산동 1948"
"인천광역시","N","",34,"20230210","정상운영","2023-02-16","없음","37.3921076211908","21995",0,"","권투","연수구","송도동","21995","126.649921987673","2023-02-16","신고","인천광역시","히트앤핏 송도","인천광역시 연수구 해돋이로 114(송도동)","Y","체육도장업","인천광역시 연수구 송도동 3-29 서운프라자"
"경기도","N","다우빌딩",35,"20211224","정상운영","2021-12-28","실내","","14995",242,"다우빌딩 2층 203~204호 (능곡동)","권투","시흥시","능곡동","14995","","2023-03-03","신고","경기도","권프로 B&B 멀티짐","경기도 시흥시 승지로60번길 28, 다우빌딩 2층 203~204호 (능곡동)","Y","체육도장업","경기도 시흥시 능곡동 750 다우빌딩 "
"인천광역시","N","",36,"20210603","정상운영","2023-03-15","없음","37.3849625996123","21998",149,"101동 509호","권투","연수구","송도동","21998","126.642800057546","2023-03-21","신고","인천광역시","김지산 복싱센터","인천광역시 연수구 하모니로138번길 11(송도동)","Y","체육도장업","인천광역시 연수구 송도동 8-20 송도캐슬센트럴파크"
"인천광역시","N","마전프라자 502호 (마전동)",37,"20230307","정상운영","2023-03-24","실내","37.5959155982802","22639",144,"마전프라자 502호 (마전동)","권투","서구","마전동","22639","126.669294462617","2023-03-24","신고","인천광역시","투혼 실전복싱","인천광역시 서구 완정로 43(마전동)","Y","체육도장업","인천광역시 서구 마전동 1021-1 마전프라자"
"광주광역시","N"," (일곡동,3층)",38,"20100625","정상운영","2023-03-22","없음","35.2046792983022","61040",230," (일곡동,3층)","권투","북구","일곡동","61040","126.897590151679","2023-03-22","신고","광주광역시","전일복싱클럽(일곡관)","광주광역시 북구 설죽로 511(일곡동)","Y","체육도장업","광주광역시 북구 일곡동 846-3"
"세종특별자치시","N","501,502,503,504,505호",39,"20230214","정상운영","2023-03-18","없음","36.4980948672332","30146",395,"","권투","세종시","반곡동","30146","127.312126918476","2023-03-18","신고","세종특별자치시","세종복싱 반곡점","세종특별자치시 한누리대로 1824(반곡동)","Y","체육도장업","세종특별자치시 반곡동 49-13"
"강원도","N","6층 608, 609호",40,"20210104","정상운영","2021-05-31","없음","37.3824240551008","26353",187,"6층 608, 609호","권투","원주시","가곡리","26353","127.87316785268","2023-03-17","신고","강원도","원투복싱클럽 기업점","강원도 원주시 지정면 신지정로 322-1","Y","체육도장업","강원도 원주시 지정면 가곡리 1497-1"
