addr_ctpv_nm,nation_yn,row_num,base_ymd,faci_stat_nm,reg_dt,inout_gbn_nm,faci_lat,faci_zip,sdwn_ymd,faci_gfa,faci_cd_hash,ftype_nm,cpb_nm,addr_emd_nm,addr_cpb_nm,faci_road_zip,faci_lot,updt_dt,faci_gb_nm,cp_nm,faci_nm,faci_road_addr,atnm_chk_yn,fcob_nm,faci_addr
"경상남도","N",283,"20111104","폐업","2016-12-31","실내","35.2513132477","51157","20230317",68,"yO0MfhRyfhqp5iYqXFWlDZiAYh/r+eydAZygb9EBjXg=","태권도","창원시","봉림동","창원시 의창구","51157","128.6672873578","2023-03-18","신고","경상남도","용인대중앙태권도장","경상남도 창원시 의창구 대봉로 24 (봉림동)","Y","체육도장업","경상남도 창원시 의창구 봉림동 713-1"
"충청북도","N",284,"20161227","폐업","2016-12-27","실내","36.60813244520629","28628","20230217",134,"RiGNKzqZh9CXCPa4K2/k9pqDDW3m4GBcxoPpwg7ThFI=","태권도","청주시","산남동","청주시","28628","127.47294933828877","2023-02-18","신고","충청북도","경희대석사태권도","충청북도 청주시 서원구 원흥로 14 (산남동, 부영사랑으로)","Y","체육도장업","충청북도 청주시 서원구 산남동 1094 부영사랑으로"
"","N",285,"20050914","정상운영","2016-12-31","실내","35.1273491754","62059","",81,"jl+H6NM6/YkVtdXuTA0InZJliN7QDpV06FISS2fn8co=","태권도","서구","풍암동","","62059","126.8819483326","2020-05-13","신고","광주광역시","어울림태권도","광주광역시 서구 풍암순환로 191 (풍암동)","Y","체육도장업","광주광역시 서구 풍암동 1132 우미광장아파트"
"경상남도","N",286,"20220225","정상운영","2022-05-13","없음","35.407412504444","50514","",352,"ao8jyjreKitUZN41JUebQBYyKYYuo1cvIBxqWvwXK9E=","태권도","양산시","","양산시","50514","129.158552078622","2023-02-07","신고","경상남도","엠케이비태권도장","경상남도 양산시 소주회야1길 5(소주동)","Y","체육도장업","경상남도 양산시 소주동 335-8 세계로마트"
"경상남도","N",287,"20081218","폐업","2016-12-31","실내","35.1938640623","","20230205","","53kjQ3EgvULZy9Az72p00iwgD7oEGJHcY8hLd3quSXk=","태권도","김해시","","김해시","","128.797403132","2023-02-07","신고","경상남도","태권브이테권도","","Y","체육도장업","김해시 대청로210번길 24"
"경상남도","N",288,"20090703","정상운영","2016-12-31","실내","35.4985897657","627803","",261,"mhTwsVXkPbBu/vYcD1MxcwAMgkTJqak7sulweGi3FsM=","태권도","밀양시","","밀양시","627803","128.751876473","2023-02-09","신고","경상남도","비호태권도체육관(35)","밀양시 석정로 100(내이동)","Y","체육도장업","경남 밀양시 석정로 100"
"","N",289,"20161231","정상운영","2016-12-31","","37.6397153775","132918","",106,"6Ug/zUiLvE5yBe2kcypf41cFovcIexMpq3fru7Zf8zQ=","태권도","도봉구","","","132918","127.038490637","2023-04-21","신고","서울특별시","성룡태권도","덕릉로59가길17","Y","체육도장업",""
"","N",290,"20161231","정상운영","2016-12-31","실내","","22397","",217,"E+Qgq8ZG3KeVPrxQAxA3xKUm+5Pzkp7cF9tfeSBpfac=","태권도","중구","","","22397","","2023-05-09","신고","인천광역시","국가대표태권도장","인천광역시 중구 하늘중앙로 193, 801,802호 (중산동)","Y","체육도장업","인천광역시 중구 중산동 1882-1 "
"","N",291,"20161231","정상운영","2016-12-31","실내","37.4707685661","","","","9mmWgXnyX/+uLI7k39DckQMfiHelYePc+vjnd4Iy7Nc=","태권도","중구","","","","126.631481158","2023-05-08","신고","인천광역시","율목경희체육관","인천광역시 중구 답동로24번길 1 (율목동)","Y","체육도장업","인천광역시 중구 답동로24번길 1 (율목동)"
"","N",292,"20160407","정상운영","2016-12-31","실내","","21524","",114,"2LYNsjLr9NwhcKlE5YK59rIoLd3/zr9EiQi0OuBwxZo=","태권도","남동구","","","21524","","2023-05-15","신고","인천광역시","경희대 탑 태권도장","인천광역시 남동구 백범로180번길 77, 일흥프라자 302호 (만수동)","Y","체육도장업","인천광역시 남동구 만수동 80-131 일흥프라자 "
